GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1301701289,20260430,202604,2026,2026.3288,,,,,,,,,,,BHR,BAHRAIN,BHR,,,,,,,,0,110,110,11,3,-2.0,4,1,4,1.70132325141777,0,,,,,,,,4,"Zallaq, Al Janubiyah, Bahrain",BA,BA17,25307,26.0475,50.4864,-784878,4,"Zallaq, Al Janubiyah, Bahrain",BA,BA17,25307,26.0475,50.4864,-784878,20260430013000,https://www.gdnonline.com:443/Details/1393170/Public-spaces-go-smart-to-save-water-and-power
1301701290,20260430,202604,2026,2026.3288,,,,,,,,,,,BUS,BUSINESS,,,,,,BUS,,,0,036,036,03,1,4.0,10,1,10,1.12254443405051,0,,,,,,,,3,"New Haven, Connecticut, United States",US,USCT,,41.3082,-72.9282,209231,3,"New Haven, Connecticut, United States",US,USCT,,41.3082,-72.9282,209231,20260430013000,https://www.nhregister.com/politics/article/ct-contract-wage-increase-state-employee-unions-22227767.php
1301701291,20260430,202604,2026,2026.3288,,,,,,,,,,,BUS,BUSINESS,,,,,,BUS,,,0,036,036,03,1,4.0,10,1,10,1.12359550561798,0,,,,,,,,2,"Connecticut, United States",US,USCT,,41.5834,-72.7622,CT,2,"Connecticut, United States",US,USCT,,41.5834,-72.7622,CT,20260430013000,https://www.thehour.com/politics/article/ct-contract-wage-increase-state-employee-unions-22227767.php
1301701292,20260430,202604,2026,2026.3288,,,,,,,,,,,BUS,INVESTOR,,,,,,BUS,,,0,040,040,04,1,1.0,2,1,2,3.91414141414141,0,,,,,,,,4,"Pilbara, Western Australia, Australia",AS,AS08,5536,-21.25,118.3,-1594999,4,"Pilbara, Western Australia, Australia",AS,AS08,5536,-21.25,118.3,-1594999,20260430013000,https://www.proactiveinvestors.com.au/companies/news/1091456/small-cap-watch-tamboran-raises-280m-orthocell-expands-sales-quarterlies-dominate-flow-1091456.html
1301701293,20260430,202604,2026,2026.3288,,,,,,,,,,,BUS,COMPANY,,,,,,BUS,,,1,042,042,04,1,1.9,10,1,10,3.19488817891374,0,,,,,,,,4,"Pickle Crow, Ontario, Canada",CA,CA08,154724,51.5,-90.05,-571265,4,"Pickle Crow, Ontario, Canada",CA,CA08,154724,51.5,-90.05,-571265,20260430013000,https://www.proactiveinvestors.com.au/companies/news/1091457/firefly-metals-completes-ontario-gold-assets-sale-to-sharpen-green-bay-focus-1091457.html
1301701294,20260430,202604,2026,2026.3288,,,,,,,,,,,BUS,BUSINESS,,,,,,BUS,,,0,051,051,05,1,3.4,4,1,4,1.51975683890578,0,,,,,,,,4,"Pune, Maharashtra, India",IN,IN16,70178,18.5333,73.8667,-2108361,4,"Pune, Maharashtra, India",IN,IN16,70178,18.5333,73.8667,-2108361,20260430013000,https://eturbonews.com/global-single-and-dual-channel-dashboard-cameras-market-forecast-probabilities-growth-expectations-revenue-estimation/
1301701295,20260430,202604,2026,2026.3288,,,,,,,,,,,BUS,BUSINESS,,,,,,BUS,,,0,051,051,05,1,3.4,6,1,6,1.51975683890578,0,,,,,,,,1,Canada,CA,CA,,60,-96,CA,1,Canada,CA,CA,,60,-96,CA,20260430013000,https://eturbonews.com/global-single-and-dual-channel-dashboard-cameras-market-forecast-probabilities-growth-expectations-revenue-estimation/
1301701296,20260430,202604,2026,2026.3288,,,,,,,,,,,CAN,CANADA,CAN,,,,,,,,0,042,042,04,1,1.9,1,1,1,2.97482837528604,0,,,,,,,,4,"Calgary, Alberta, Canada",CA,CA01,12549,51.0833,-114.083,-561990,4,"Calgary, Alberta, Canada",CA,CA01,12549,51.0833,-114.083,-561990,20260430013000,https://calgarysun.com/news/local-news/youthlink-calgary-police-interpretive-centre-name-change-discovery-center
1301701297,20260430,202604,2026,2026.3288,,,,,,,,,,,CAN,ONTARIO,CAN,,,,,,,,1,192,192,19,4,-9.5,10,1,10,3.19488817891374,0,,,,,,,,4,"Pickle Crow, Ontario, Canada",CA,CA08,154724,51.5,-90.05,-571265,4,"Pickle Crow, Ontario, Canada",CA,CA08,154724,51.5,-90.05,-571265,20260430013000,https://www.proactiveinvestors.com.au/companies/news/1091457/firefly-metals-completes-ontario-gold-assets-sale-to-sharpen-green-bay-focus-1091457.html
1301701298,20260430,202604,2026,2026.3288,,,,,,,,,,,CHN,CHINA,CHN,,,,,,,,0,130,130,13,3,-4.4,10,1,10,-5.6980056980057,0,,,,,,,,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,20260430013000,https://ianslive.in/iran-war-raises-concerns-over-us-focus-on-china--20260430060004
